334 : True	10	0.200	0.333	0.733
18 : False	1	1.000	0.125	0.438
13 : False	2	0.000	0.375	0.812
5 : True	29	0.379	1.000	0.310
36 : False	2	0.000	0.375	0.812
6 : False	1	0.000	0.091	0.955
8 : True	25	0.160	0.625	0.607
24 : False	1	1.000	0.125	0.438
61 : False	4	0.250	0.500	0.625
68 : False	2	0.000	0.333	0.833
69 : True	3	0.667	0.375	0.479
54 : False	1	1.000	0.200	0.400
75 : False	4	0.500	0.333	0.583
83 : False	3	0.333	0.024	0.822
74 : False	8	0.625	0.875	0.250
62 : False	2	0.500	0.667	0.417
56 : False	6	0.667	0.778	0.278
39 : False	5	0.000	0.375	0.812
22 : False	9	0.333	0.400	0.633
87 : False	6	0.500	0.500	0.500
17 : False	1	1.000	0.667	0.167
25 : False	12	0.333	0.667	0.500
107 : False	6	0.500	0.333	0.583
114 : True	6	0.500	0.667	0.417
127 : True	6	0.500	0.667	0.417
72 : False	1	1.000	0.333	0.333
90 : False	3	0.333	0.600	0.533
142 : False	7	0.143	0.333	0.762
144 : True	8	0.625	0.667	0.354
81 : False	3	0.000	0.222	0.889
154 : False	1	1.000	0.113	0.443
159 : True	26	0.538	0.778	0.342
71 : True	5	0.800	0.333	0.433
173 : False	1	1.000	0.333	0.333
174 : False	1	0.000	0.150	0.925
148 : False	1	1.000	0.125	0.438
175 : False	3	0.667	0.024	0.654
183 : True	15	0.467	0.667	0.433
188 : False	2	1.000	0.667	0.167
187 : False	2	0.500	0.333	0.583
191 : False	1	0.000	0.333	0.833
79 : False	1	0.000	0.333	0.833
196 : True	27	0.296	1.000	0.352
199 : False	2	0.500	0.333	0.583
215 : True	7	0.429	0.667	0.452
213 : False	2	0.500	0.111	0.694
217 : False	3	0.667	0.333	0.500
190 : False	6	0.333	0.625	0.521
1356 : True	10	0.400	0.667	0.467
229 : False	1	1.000	0.500	0.250
189 : True	6	0.667	1.000	0.167
89 : False	3	0.000	0.333	0.833
220 : False	1	0.000	0.200	0.900
3807 : False	5	0.200	0.667	0.567
247 : True	8	0.375	0.625	0.500
170 : True	3	0.667	0.556	0.389
34 : True	5	0.600	0.333	0.533
252 : False	3	0.000	0.111	0.944
223 : True	50	0.340	1.000	0.330
251 : True	24	0.542	0.875	0.292
210 : False	6	0.333	0.222	0.722
219 : False	6	0.333	0.333	0.667
30 : False	6	0.500	0.333	0.583
168 : False	2	0.500	0.375	0.562
260 : False	1	1.000	0.400	0.300
253 : True	18	0.722	0.667	0.306
266 : False	1	0.000	0.333	0.833
214 : False	1	1.000	0.333	0.333
33 : False	1	1.000	0.160	0.420
273 : False	3	1.000	0.111	0.444
99 : False	1	0.000	0.111	0.944
57 : False	1	1.000	0.333	0.333
59 : True	20	0.350	0.750	0.450
236 : False	3	0.333	0.333	0.667
288 : False	4	0.250	0.200	0.775
302 : False	3	0.000	0.333	0.833
7 : False	2	0.500	0.019	0.741
9426 : True	19	0.421	0.333	0.623
315 : False	2	0.500	0.333	0.583
317 : False	1	0.000	0.111	0.944
319 : True	16	0.375	0.667	0.479
292 : False	4	0.250	0.200	0.775
333 : False	5	0.200	0.057	0.872
327 : False	8	0.500	0.075	0.712
279 : False	6	0.167	0.375	0.729
339 : False	8	0.125	0.375	0.750
352 : True	5	0.600	1.000	0.200
367 : False	1	0.000	0.100	0.950
368 : False	5	0.200	0.333	0.733
369 : False	1	0.000	0.024	0.988
378 : False	4	0.250	0.222	0.764
25692 : False	3	0.000	0.333	0.833
401 : True	2	1.000	0.300	0.350
402 : False	3	0.333	0.125	0.771
300 : False	1	0.000	0.111	0.944
434 : False	1	1.000	0.667	0.167
439 : False	1	0.000	0.111	0.944
442 : False	9	0.333	0.667	0.500
438 : True	16	0.375	0.400	0.613
449 : False	4	0.250	0.333	0.708
447 : True	9	0.333	0.667	0.500
445 : False	5	0.400	0.111	0.744
453 : True	3	0.667	0.111	0.611
460 : True	4	0.500	1.000	0.250
172 : False	6	0.167	0.667	0.583
463 : False	6	0.333	0.111	0.778
228 : False	5	0.400	0.111	0.744
7620 : False	1	1.000	0.667	0.167
476 : True	5	0.400	0.222	0.689
257 : False	1	0.000	0.015	0.993
474 : False	5	0.600	0.125	0.637
482 : True	2	1.000	1.000	0.000
480 : False	7	0.429	0.111	0.730
488 : False	1	1.000	0.040	0.480
491 : False	1	1.000	0.050	0.475
494 : False	1	0.000	0.111	0.944
495 : False	5	0.200	0.333	0.733
498 : False	4	0.250	0.200	0.775
485 : True	7	0.571	1.000	0.214
503 : False	1	1.000	0.125	0.438
500 : False	1	0.000	0.000	1.000
506 : False	4	0.250	0.200	0.775
501 : False	1	1.000	0.200	0.400
511 : False	1	0.000	0.200	0.900
481 : False	1	0.000	0.030	0.985
364 : True	5	0.400	1.000	0.300
520 : True	6	0.500	0.038	0.731
455 : True	4	0.500	0.125	0.688
163 : False	1	1.000	0.038	0.481
530 : False	2	0.500	0.200	0.650
1005 : False	3	0.333	0.000	0.833
11 : True	7	0.571	0.333	0.548
549 : False	5	0.400	0.200	0.700
284 : False	1	0.000	0.111	0.944
557 : False	2	1.000	0.333	0.333
287 : True	12	0.583	0.625	0.396
559 : False	7	0.286	0.200	0.757
561 : False	2	1.000	0.333	0.333
560 : False	1	0.000	0.024	0.988
569 : False	2	0.500	0.222	0.639
513 : False	1	1.000	0.100	0.450
582 : False	5	0.400	0.400	0.600
419 : False	7	0.429	0.400	0.586
603 : True	10	0.500	0.500	0.500
609 : False	1	1.000	0.111	0.444
608 : True	6	0.667	0.333	0.500
614 : True	8	0.375	0.400	0.613
531 : False	1	0.000	0.333	0.833
601 : True	9	0.222	1.000	0.389
353 : False	2	0.500	0.024	0.738
493 : False	1	0.000	0.111	0.944
634 : False	11	0.182	0.333	0.742
638 : False	1	0.000	0.024	0.988
572 : False	1	0.000	0.024	0.988
642 : False	1	1.000	0.333	0.333
643 : False	3	0.667	0.667	0.333
588 : False	4	0.000	0.125	0.938
652 : False	3	0.000	0.000	1.000
162 : False	1	0.000	0.000	1.000
660 : False	6	0.500	0.125	0.688
665 : False	1	1.000	0.333	0.333
666 : True	5	0.800	0.400	0.400
667 : True	6	0.833	0.240	0.463
668 : False	1	0.000	0.125	0.938
632 : False	1	0.000	0.111	0.944
573 : False	1	0.000	0.000	1.000
686 : False	5	0.400	0.667	0.467
303 : False	2	0.500	0.111	0.694
29 : False	2	1.000	0.111	0.444
521 : True	17	0.765	0.667	0.284
698 : False	2	0.500	0.333	0.583
702 : False	1	0.000	0.100	0.950
366 : False	2	0.000	0.040	0.980
358 : False	1	1.000	0.333	0.333
124 : False	1	1.000	0.333	0.333
729 : False	2	0.500	0.222	0.639
732 : False	1	0.000	0.111	0.944
684 : False	3	0.333	0.125	0.771
738 : False	1	0.000	0.111	0.944
749 : False	2	0.500	0.667	0.417
553 : False	1	1.000	0.667	0.167
10229 : False	1	1.000	0.333	0.333
760 : False	2	0.500	0.333	0.583
762 : False	3	0.000	0.333	0.833
765 : False	2	0.500	0.024	0.738
