334 : False	6	0.167	0.500	0.667
5 : False	4	0.000	0.857	0.571
8 : True	5	0.400	0.857	0.371
69 : False	4	0.250	0.333	0.708
74 : False	1	0.000	0.500	0.750
22 : False	2	0.500	0.500	0.500
96 : False	1	1.000	0.286	0.357
144 : False	1	0.000	0.333	0.833
159 : False	5	0.200	0.833	0.483
174 : False	2	0.500	0.143	0.679
183 : False	4	0.000	0.714	0.643
196 : False	3	0.333	0.714	0.476
190 : False	1	1.000	0.500	0.250
1356 : False	2	0.500	0.429	0.536
229 : False	1	0.000	0.429	0.786
226 : False	3	0.333	0.429	0.619
247 : False	1	1.000	0.429	0.286
223 : True	7	0.286	0.765	0.475
251 : False	1	1.000	0.857	0.071
30 : False	4	0.250	0.333	0.708
253 : True	16	0.188	1.000	0.406
315 : False	2	0.500	0.167	0.667
319 : False	1	0.000	0.429	0.786
439 : True	8	0.250	0.176	0.787
442 : True	1	1.000	1.000	0.000
438 : False	4	0.250	0.286	0.732
449 : True	19	0.105	1.000	0.447
495 : False	1	0.000	0.333	0.833
485 : True	4	0.250	0.833	0.458
511 : False	3	0.000	0.571	0.714
364 : False	3	0.000	0.714	0.643
582 : False	6	0.167	1.000	0.417
603 : False	2	0.000	0.667	0.667
601 : False	1	0.000	0.571	0.714
493 : False	2	0.000	0.286	0.857
634 : False	5	0.200	0.333	0.733
29 : False	1	0.000	0.167	0.917
10229 : False	4	0.250	0.429	0.661
776 : False	2	0.500	0.429	0.536
791 : False	1	1.000	0.000	0.500
795 : False	4	0.250	0.588	0.581
830 : False	1	1.000	0.714	0.143
840 : False	1	1.000	0.333	0.333
851 : False	1	0.000	0.000	1.000
887 : False	1	0.000	0.714	0.643
919 : True	31	0.032	1.000	0.484
961 : False	2	0.000	0.500	0.750
101 : False	4	0.250	0.167	0.792
930 : True	18	0.222	0.857	0.460
1028 : False	1	0.000	0.167	0.917
1036 : True	8	0.250	0.833	0.458
1049 : False	1	1.000	0.059	0.471
528 : False	5	0.200	0.286	0.757
966 : False	3	0.000	0.176	0.912
1118 : False	1	0.000	0.571	0.714
1124 : False	1	0.000	0.667	0.667
307 : False	1	0.000	0.167	0.917
1185 : False	1	1.000	0.143	0.429
1197 : False	1	1.000	0.143	0.429
1195 : False	1	1.000	0.167	0.417
1307 : False	10	0.100	0.833	0.533
1316 : False	1	0.000	0.000	1.000
1320 : False	1	1.000	0.167	0.417
1329 : False	1	0.000	0.571	0.714
1393 : True	2	0.500	0.286	0.607
1395 : False	3	0.333	0.286	0.690
1390 : False	1	0.000	0.333	0.833
264 : False	1	1.000	0.167	0.417
809 : False	1	1.000	0.167	0.417
1272 : False	2	0.000	0.000	1.000
179 : False	2	0.000	0.167	0.917
5793 : False	1	0.000	0.143	0.929
1531 : False	4	0.250	0.167	0.792
1540 : False	2	0.500	0.143	0.679
1224 : False	1	1.000	0.000	0.500
1709 : False	2	0.000	0.333	0.833
1573 : False	1	0.000	0.429	0.786
1327 : False	1	1.000	0.167	0.417
1614 : False	2	0.500	0.167	0.667
1127 : False	1	1.000	0.000	0.500
1637 : False	1	0.000	0.143	0.929
767 : False	2	0.500	0.167	0.667
1647 : False	1	0.000	0.167	0.917
1657 : False	2	0.500	0.167	0.667
478 : True	2	1.000	0.500	0.250
1663 : False	1	0.000	0.167	0.917
1189 : False	3	0.333	0.500	0.583
1679 : True	6	0.333	1.000	0.333
656 : False	2	0.000	0.333	0.833
1683 : False	2	0.500	0.038	0.731
1689 : False	3	0.333	0.038	0.814
1516 : False	1	1.000	0.286	0.357
1704 : False	1	1.000	0.143	0.429
1694 : False	3	0.333	0.000	0.833
230 : False	1	0.000	0.000	1.000
1706 : False	5	0.200	0.167	0.817
1763 : False	7	0.143	0.286	0.786
1716 : False	2	0.000	0.167	0.917
2025 : False	1	1.000	0.000	0.500
1725 : False	2	0.000	0.143	0.929
1727 : True	3	0.667	0.143	0.595
1730 : False	1	0.000	0.167	0.917
1735 : False	1	0.000	0.000	1.000
1737 : False	3	0.000	0.000	1.000
1739 : False	10	0.100	0.429	0.736
261 : False	7	0.143	0.333	0.762
255 : False	2	0.500	0.059	0.721
1764 : False	4	0.000	0.077	0.962
1766 : False	4	0.250	0.429	0.661
1777 : False	5	0.200	0.167	0.817
1786 : False	5	0.200	0.143	0.829
1789 : False	1	0.000	0.143	0.929
1760 : False	5	0.200	0.143	0.829
1795 : False	2	0.000	0.000	1.000
1784 : False	1	1.000	0.143	0.429
1809 : False	1	1.000	0.500	0.250
1808 : False	5	0.200	0.333	0.733
1820 : False	1	0.000	0.333	0.833
1831 : False	1	0.000	0.143	0.929
1833 : False	1	0.000	0.000	1.000
1835 : False	1	0.000	0.000	1.000
1845 : False	2	0.000	0.167	0.917
118 : False	1	0.000	0.167	0.917
1860 : False	1	0.000	0.000	1.000
1873 : False	2	0.000	0.143	0.929
1815 : False	1	1.000	0.167	0.417
1886 : False	2	0.000	0.167	0.917
