5 : False	2	0.000	0.667	0.667
38 : False	1	0.000	0.111	0.944
8 : False	1	1.000	0.800	0.100
74 : False	3	0.000	0.800	0.600
56 : False	1	1.000	0.600	0.200
22 : False	1	1.000	0.556	0.222
114 : False	2	0.500	0.400	0.550
144 : False	2	0.000	0.667	0.667
159 : False	1	1.000	0.800	0.100
71 : False	3	0.333	0.556	0.556
183 : False	7	0.000	0.800	0.600
196 : False	2	0.000	0.600	0.700
199 : False	7	0.143	0.600	0.629
217 : False	2	0.500	0.333	0.583
223 : False	5	0.000	0.800	0.600
30 : False	5	0.200	0.600	0.600
266 : False	1	0.000	0.333	0.833
319 : False	1	0.000	0.500	0.750
333 : False	1	1.000	0.200	0.400
401 : False	5	0.000	0.500	0.750
439 : False	1	0.000	0.400	0.800
449 : True	12	0.083	0.818	0.549
495 : False	5	0.000	0.800	0.600
364 : True	4	0.500	0.778	0.361
287 : False	1	0.000	0.333	0.833
569 : False	2	0.500	0.250	0.625
582 : False	3	0.000	0.600	0.700
603 : False	2	0.500	0.800	0.350
609 : False	1	0.000	0.556	0.722
601 : False	2	0.000	0.750	0.625
493 : False	2	0.500	0.400	0.550
588 : False	4	0.000	0.500	0.750
666 : False	1	1.000	0.400	0.300
686 : False	6	0.167	0.556	0.639
795 : True	5	0.400	0.875	0.363
812 : False	2	0.000	0.250	0.875
887 : False	5	0.200	0.600	0.600
847 : False	1	0.000	0.400	0.800
919 : True	37	0.054	1.000	0.473
930 : False	21	0.048	0.889	0.532
1036 : False	2	0.000	0.556	0.722
1098 : False	1	0.000	0.222	0.889
1106 : False	1	0.000	0.750	0.625
1118 : True	5	0.400	0.500	0.550
1146 : False	1	0.000	0.600	0.700
307 : False	3	0.333	0.455	0.606
1154 : False	1	0.000	0.444	0.778
1291 : False	1	0.000	0.500	0.750
1307 : False	3	0.000	0.750	0.625
1320 : False	1	0.000	0.250	0.875
593 : False	1	0.000	0.167	0.917
1347 : True	10	0.300	0.889	0.406
1381 : True	5	0.200	0.909	0.445
1393 : True	6	0.333	0.444	0.611
1390 : False	4	0.250	0.667	0.542
264 : False	4	0.000	0.800	0.600
1490 : False	1	1.000	0.000	0.500
1496 : False	4	0.000	0.333	0.833
1499 : False	2	0.000	0.500	0.750
179 : False	2	0.000	0.333	0.833
1709 : False	4	0.000	0.400	0.800
1569 : False	1	1.000	0.333	0.333
1144 : False	1	0.000	0.250	0.875
656 : False	2	0.000	0.444	0.778
1694 : False	2	0.500	0.000	0.750
2025 : False	2	0.000	0.000	1.000
1737 : False	4	0.250	0.600	0.575
1739 : False	6	0.167	0.778	0.528
255 : False	1	0.000	0.200	0.900
1764 : False	3	0.000	0.600	0.700
1777 : False	1	1.000	0.250	0.375
1789 : False	1	0.000	0.333	0.833
1808 : False	2	0.000	0.800	0.600
892 : False	2	0.000	0.500	0.750
1909 : False	2	0.000	0.500	0.750
1871 : False	3	0.000	0.250	0.875
1951 : False	1	0.000	0.400	0.800
1916 : False	2	0.000	0.250	0.875
1050 : False	1	0.000	0.333	0.833
1818 : False	1	0.000	0.200	0.900
696 : False	4	0.250	0.667	0.542
5792 : False	1	1.000	0.800	0.100
1364 : False	2	0.000	0.250	0.875
2040 : False	2	0.000	0.750	0.625
1979 : False	1	0.000	0.500	0.750
2111 : False	1	1.000	0.200	0.400
2101 : False	2	0.500	0.333	0.583
2129 : False	1	0.000	0.556	0.722
2148 : False	1	1.000	0.200	0.400
2067 : False	1	1.000	0.200	0.400
2116 : False	28	0.036	0.800	0.582
1371 : False	2	0.000	0.111	0.944
2322 : False	1	0.000	0.250	0.875
11954 : False	1	0.000	0.167	0.917
2392 : True	12	0.167	1.000	0.417
1670 : False	4	0.250	0.600	0.575
2454 : False	2	0.000	0.200	0.900
2566 : False	1	0.000	0.111	0.944
1720 : True	3	0.667	0.200	0.567
2669 : False	14	0.071	0.556	0.687
2645 : False	5	0.200	0.667	0.567
2719 : False	2	0.000	0.400	0.800
2728 : False	1	1.000	0.444	0.278
2773 : False	3	0.000	0.250	0.875
2775 : False	1	0.000	0.600	0.700
2817 : True	5	0.400	0.778	0.411
2824 : False	1	1.000	0.250	0.375
2849 : False	2	0.000	0.250	0.875
2860 : False	7	0.000	0.400	0.800
1191 : False	1	1.000	0.444	0.278
2902 : False	1	0.000	0.250	0.875
2908 : False	1	0.000	0.111	0.944
2912 : False	4	0.000	0.000	1.000
2898 : False	2	0.500	0.400	0.550
2798 : False	3	0.000	0.250	0.875
2956 : False	1	0.000	0.167	0.917
704 : False	5	0.000	0.250	0.875
2970 : False	14	0.071	1.000	0.464
2975 : False	1	0.000	0.250	0.875
3489 : True	6	0.333	0.889	0.389
2958 : True	7	0.286	1.000	0.357
3008 : False	4	0.250	0.250	0.750
3014 : False	2	0.500	0.400	0.550
26 : False	4	0.250	0.500	0.625
3026 : True	6	0.500	0.444	0.528
3019 : False	5	0.200	0.250	0.775
3052 : False	1	0.000	0.000	1.000
3062 : False	1	0.000	0.091	0.955
3086 : False	2	0.500	0.167	0.667
2635 : False	2	0.000	0.444	0.778
3104 : False	2	0.500	0.200	0.650
3136 : False	7	0.143	0.200	0.829
546 : False	2	0.000	0.111	0.944
1549 : False	1	0.000	0.250	0.875
3189 : False	1	0.000	0.200	0.900
21466 : False	1	0.000	0.111	0.944
2973 : False	3	0.333	0.222	0.722
3263 : False	1	0.000	0.250	0.875
3285 : False	1	0.000	0.333	0.833
3291 : False	1	0.000	0.167	0.917
2965 : False	5	0.200	0.556	0.622
3301 : False	3	0.000	0.400	0.800
1537 : False	3	0.333	0.800	0.433
10633 : False	8	0.250	0.200	0.775
3309 : False	3	0.000	0.250	0.875
3325 : False	1	1.000	0.111	0.444
3292 : False	3	0.333	0.200	0.733
3333 : False	4	0.250	0.250	0.750
3338 : False	3	0.333	0.250	0.708
3328 : False	1	0.000	0.000	1.000
3140 : False	5	0.000	0.250	0.875
3342 : True	5	0.400	0.500	0.550
3348 : False	1	0.000	0.000	1.000
3347 : True	9	0.222	0.273	0.753
3357 : False	2	0.500	0.000	0.750
3367 : False	1	0.000	0.167	0.917
2260 : False	3	0.333	0.111	0.778
3320 : False	4	0.250	0.250	0.750
3376 : False	4	0.000	0.250	0.875
3377 : False	1	0.000	0.000	1.000
3382 : False	3	0.333	0.250	0.708
3378 : False	1	0.000	0.000	1.000
3379 : False	2	0.500	0.000	0.750
3369 : False	10	0.100	0.500	0.700
3388 : False	3	0.000	0.250	0.875
3392 : False	4	0.250	0.000	0.875
3395 : False	2	0.000	0.000	1.000
2917 : False	5	0.200	0.250	0.775
3405 : False	3	0.000	0.400	0.800
3387 : False	1	0.000	0.200	0.900
3408 : False	2	0.000	0.200	0.900
3396 : True	8	0.250	0.750	0.500
3424 : False	4	0.250	0.111	0.819
3429 : False	1	1.000	0.000	0.500
2230 : False	3	0.000	0.200	0.900
3430 : False	4	0.000	0.000	1.000
3434 : False	1	0.000	0.200	0.900
3437 : False	2	0.000	0.000	1.000
3438 : False	1	1.000	0.091	0.455
3443 : False	2	0.000	0.000	1.000
3446 : False	1	0.000	0.000	1.000
3447 : False	2	0.000	0.000	1.000
2759 : False	1	0.000	0.111	0.944
3442 : False	1	0.000	0.400	0.800
3451 : False	1	1.000	0.250	0.375
276 : False	5	0.200	0.167	0.817
3401 : False	2	0.500	0.250	0.625
3456 : True	3	0.667	0.400	0.467
3459 : False	1	0.000	0.167	0.917
3465 : False	5	0.200	0.000	0.900
3468 : False	1	0.000	0.250	0.875
3472 : False	3	0.333	0.000	0.833
3474 : False	1	0.000	0.250	0.875
3296 : False	1	0.000	0.000	1.000
3479 : False	2	0.500	0.000	0.750
3484 : False	4	0.000	0.111	0.944
3488 : False	1	0.000	0.250	0.875
3485 : False	1	0.000	0.400	0.800
3495 : False	1	1.000	0.200	0.400
3499 : False	5	0.000	0.222	0.889
3500 : False	2	0.500	0.091	0.705
3506 : False	4	0.250	0.125	0.812
2105 : False	1	0.000	0.111	0.944
3509 : False	3	0.333	0.400	0.633
1514 : False	1	1.000	0.000	0.500
3525 : False	4	0.250	0.111	0.819
3411 : False	2	0.000	0.111	0.944
3527 : False	2	1.000	0.200	0.400
3535 : False	4	0.250	0.000	0.875
3533 : False	1	0.000	0.000	1.000
1261 : True	3	0.667	0.200	0.567
3432 : True	10	0.200	0.778	0.511
227 : False	1	1.000	0.444	0.278
3374 : False	2	0.000	0.000	1.000
3551 : True	3	0.667	1.000	0.167
3545 : False	1	1.000	0.250	0.375
21360 : False	1	0.000	0.111	0.944
1422 : False	6	0.167	0.250	0.792
