334 : False	2	0.500	0.750	0.375
13 : False	2	0.500	0.667	0.417
5 : True	13	0.231	1.000	0.385
8 : True	11	0.364	1.000	0.318
75 : False	1	1.000	0.500	0.250
144 : False	1	1.000	0.667	0.167
159 : True	8	0.250	0.833	0.458
71 : False	4	0.250	0.500	0.625
174 : False	1	0.000	0.667	0.667
183 : True	15	0.267	1.000	0.367
190 : False	2	0.500	0.750	0.375
89 : False	1	0.000	0.667	0.667
226 : False	4	0.500	0.500	0.500
223 : True	3	0.667	1.000	0.167
251 : False	12	0.250	1.000	0.375
253 : True	17	0.529	1.000	0.235
266 : False	2	0.500	0.667	0.417
319 : False	3	0.333	1.000	0.333
339 : False	1	1.000	0.833	0.083
352 : False	4	0.250	0.750	0.500
401 : False	3	0.000	0.333	0.833
439 : False	1	0.000	0.500	0.750
442 : False	2	0.500	0.750	0.375
449 : True	3	0.667	0.667	0.333
485 : False	2	0.500	0.667	0.417
364 : False	1	0.000	0.667	0.667
1005 : True	9	0.667	0.333	0.500
557 : False	1	1.000	0.500	0.250
287 : False	1	1.000	0.667	0.167
561 : False	3	0.667	0.333	0.500
569 : False	1	1.000	0.333	0.333
582 : False	4	0.000	0.667	0.667
603 : True	12	0.167	1.000	0.417
608 : False	3	0.667	0.200	0.567
601 : True	3	1.000	0.667	0.167
634 : False	5	0.400	0.667	0.467
588 : True	3	0.667	0.333	0.500
666 : True	9	0.667	1.000	0.167
667 : False	2	0.500	0.250	0.625
521 : False	7	0.143	1.000	0.429
749 : False	2	1.000	0.667	0.167
776 : True	7	0.714	1.000	0.143
795 : True	17	0.235	1.000	0.382
805 : False	1	0.000	0.600	0.700
830 : True	3	0.667	1.000	0.167
870 : False	1	0.000	0.400	0.800
900 : False	2	1.000	0.167	0.417
919 : True	19	0.316	1.000	0.342
957 : False	1	1.000	0.333	0.333
961 : False	1	1.000	0.667	0.167
913 : False	1	1.000	0.333	0.333
962 : False	1	0.000	0.100	0.950
930 : True	29	0.345	1.000	0.328
997 : False	1	0.000	0.200	0.900
1007 : True	5	0.400	0.333	0.633
1028 : False	2	0.000	0.333	0.833
1036 : True	7	0.143	1.000	0.429
1080 : False	1	0.000	0.500	0.750
1106 : False	4	0.500	0.333	0.583
1112 : False	4	0.250	0.200	0.775
1118 : True	5	0.800	0.667	0.267
1124 : False	4	0.250	0.750	0.500
1134 : False	1	0.000	0.167	0.917
1154 : False	3	0.667	0.333	0.500
386 : True	1	1.000	0.333	0.333
1216 : False	7	0.143	0.500	0.679
1219 : True	4	0.750	1.000	0.125
1250 : True	2	0.500	0.333	0.583
1266 : False	2	1.000	0.167	0.417
1291 : False	1	0.000	0.100	0.950
1307 : True	5	0.600	0.667	0.367
1313 : False	1	1.000	0.167	0.417
104 : True	3	1.000	0.500	0.250
1329 : True	13	0.385	1.000	0.308
1352 : True	2	0.500	0.833	0.333
1343 : False	2	0.000	0.333	0.833
1381 : False	4	0.250	0.333	0.708
1229 : False	3	0.333	0.333	0.667
1395 : False	1	1.000	0.000	0.500
1392 : False	5	0.200	0.333	0.733
1410 : False	4	0.500	0.333	0.583
1024 : True	6	0.333	0.333	0.667
1414 : False	1	1.000	0.333	0.333
1390 : True	6	0.500	1.000	0.250
1409 : False	1	0.000	0.333	0.833
1417 : False	2	0.500	0.024	0.738
486 : False	1	0.000	0.333	0.833
1421 : False	4	0.500	0.000	0.750
1054 : False	1	0.000	0.200	0.900
1424 : False	1	1.000	0.200	0.400
741 : False	1	0.000	0.167	0.917
1075 : False	1	0.000	0.167	0.917
1389 : False	7	0.429	0.333	0.619
1355 : False	3	0.333	0.333	0.667
1439 : False	3	0.333	0.333	0.667
1456 : True	3	0.667	1.000	0.167
1458 : False	5	0.400	0.167	0.717
264 : False	2	0.500	0.250	0.625
298 : False	1	0.000	0.250	0.875
1459 : True	3	0.667	0.200	0.567
1464 : False	3	0.333	0.024	0.821
77 : False	2	0.500	0.125	0.688
1475 : False	1	0.000	0.500	0.750
1479 : False	2	0.500	0.250	0.625
809 : False	1	1.000	0.167	0.417
1489 : False	3	0.333	0.167	0.750
1490 : False	1	1.000	0.167	0.417
5141 : False	7	0.286	0.333	0.690
1496 : True	4	0.500	0.217	0.641
1495 : True	3	1.000	0.400	0.300
1499 : True	15	0.200	1.000	0.400
1436 : False	4	0.250	0.667	0.542
1501 : False	2	0.000	0.167	0.917
1411 : False	1	1.000	0.167	0.417
1272 : False	1	1.000	0.250	0.375
179 : True	5	0.600	1.000	0.200
1505 : False	1	1.000	0.167	0.417
1504 : False	1	0.000	0.333	0.833
1512 : False	1	0.000	0.125	0.938
1513 : True	3	0.667	0.250	0.542
1515 : False	1	1.000	0.000	0.500
5793 : False	1	0.000	0.016	0.992
1520 : False	3	0.333	0.250	0.708
